邊緣運算  ㄅㄧㄢˉㄩㄢˊㄩㄣˋㄙㄨㄢˋ
刨根問底  ㄆㄠˊㄍㄣˉㄨㄣˋㄉㄧˇ
切中要害  ㄑㄧㄝˋㄓㄨㄥˋㄧㄠˋㄏㄞˋ
一針見血  ㄧˉㄓㄣˉㄐㄧㄢˋㄒㄩㄝˋ
妙筆生花  ㄇㄧㄠˋㄅㄧˇㄕㄥˉㄏㄨㄚˉ
長篇大論  ㄓㄤˇㄆㄧㄢˉㄉㄚˋㄌㄨㄣˋ
剛正不阿  ㄍㄤˉㄓㄥˋㄅㄨˋㄚˉ
廉潔奉公  ㄌㄧㄢˊㄐㄧㄝˊㄈㄥˋㄍㄨㄥˉ
潔身自好  ㄐㄧㄝˊㄕㄣˉㄗˋㄏㄠˇ
稱心如意  ㄔㄥˉㄒㄧㄣˉㄖㄨˊㄧˋ
意猶未盡  ㄧˋㄧㄡˊㄨㄟˋㄐㄧㄣˇ
賓客盈門  ㄅㄧㄣˉㄎㄜˋㄧㄥˊㄇㄣˊ
百廢俱興  ㄅㄞˇㄈㄟˋㄐㄩˋㄒㄧㄥˋ
嘆為觀止  ㄊㄢˋㄨㄟˋㄍㄨㄢˉㄓˇ
得心應手  ㄉㄜˊㄒㄧㄣˉㄧㄥˉㄕㄡˇ
駕輕就熟  ㄐㄧㄚˋㄑㄧㄥˉㄐㄧㄡˋㄕㄨˊ
輕車熟路  ㄑㄧㄥˉㄔㄜˉㄕㄨˊㄌㄨˋ
熟能生巧  ㄕㄨˊㄋㄥˊㄕㄥˉㄑㄧㄠˇ
勤能補拙  ㄑㄧㄣˊㄋㄥˊㄅㄨˇㄓㄨㄛˉ
堅持不懈  ㄐㄧㄢˉㄔˊㄅㄨˋㄒㄧㄝˋ
患難與共  ㄏㄨㄢˋㄋㄢˊㄩˇㄍㄨㄥˋ
榮辱與共  ㄖㄨㄥˊㄖㄨˇㄩˇㄍㄨㄥˋ
情深意重  ㄑㄧㄥˊㄕㄣˉㄧˋㄓㄨㄥˋ
患難之交  ㄏㄨㄢˋㄋㄢˊㄓˉㄐㄧㄠˉ
互利互惠  ㄏㄨˋㄌㄧˋㄏㄨˋㄏㄨㄟˋ
攜手共進  ㄒㄧˉㄕㄡˇㄍㄨㄥˋㄐㄧㄣˋ
各取所需  ㄍㄜˋㄑㄩˇㄙㄨㄛˇㄒㄩˉ
各盡其責  ㄍㄜˋㄐㄧㄣˇㄑㄧˊㄗㄜˊ
言行一致  ㄧㄢˊㄒㄧㄥˊㄧˉㄓˋ
誠信為本  ㄔㄥˊㄒㄧㄣˋㄨㄟˋㄅㄣˇ
以誠相待  ㄧˇㄔㄥˊㄒㄧㄤˉㄉㄞˋ
嚴於律己  ㄧㄢˊㄩˊㄌㄩˋㄐㄧˇ
言傳身教  ㄧㄢˊㄔㄨㄢˊㄕㄣˉㄐㄧㄠˋ
善莫大焉  ㄕㄢˋㄇㄛˋㄉㄚˋㄧㄢˉ
寬大為懷  ㄎㄨㄢˉㄉㄚˋㄨㄟˋㄏㄨㄞˊ
海納百川  ㄏㄞˇㄋㄚˋㄅㄞˇㄔㄨㄢˉ
謙虛謹慎  ㄑㄧㄢˉㄒㄩˉㄐㄧㄣˇㄕㄣˋ
戒驕戒躁  ㄐㄧㄝˋㄐㄧㄠˉㄐㄧㄝˋㄗㄠˋ
敦厚老實  ㄉㄨㄣˉㄏㄡˋㄌㄠˇㄕˊ
樂善好施  ㄌㄜˋㄕㄢˋㄏㄠˇㄕˉ
急公好義  ㄐㄧˊㄍㄨㄥˉㄏㄠˇㄧˋ
見義勇為  ㄐㄧㄢˋㄧˋㄩㄥˇㄨㄟˋ
大仁大義  ㄉㄚˋㄖㄣˊㄉㄚˋㄧˋ
設身處地  ㄕㄜˋㄕㄣˉㄔㄨˋㄉㄧˋ
關懷備至  ㄍㄨㄢˉㄏㄨㄞˊㄅㄟˋㄓˋ
悉心照料  ㄒㄧˉㄒㄧㄣˉㄓㄠˋㄌㄧㄠˋ
孝悌忠信  ㄒㄧㄠˋㄊㄧˋㄓㄨㄥˉㄒㄧㄣˋ
學而不厭  ㄒㄩㄝˊㄦˊㄅㄨˋㄧㄢˋ
博學篤行  ㄅㄛˊㄒㄩㄝˊㄉㄨˇㄒㄧㄥˊ
學富五車  ㄒㄩㄝˊㄈㄨˋㄨˇㄔㄜˉ
才華橫溢  ㄘㄞˊㄏㄨㄚˊㄏㄥˊㄧˋ
文思敏捷  ㄨㄣˊㄙˉㄇㄧㄣˇㄐㄧㄝˊ
好學不倦  ㄏㄠˇㄒㄩㄝˊㄅㄨˋㄐㄩㄢˋ
自強不息  ㄗˋㄑㄧㄤˊㄅㄨˋㄒㄧˉ
一往無前  ㄧˉㄨㄤˇㄨˊㄑㄧㄢˊ
孤注一擲  ㄍㄨˉㄓㄨˋㄧˉㄓˋ
越挫越勇  ㄩㄝˋㄘㄨㄛˋㄩㄝˋㄩㄥˇ
胸懷坦蕩  ㄒㄩㄥˉㄏㄨㄞˊㄊㄢˇㄉㄤˋ
頂風冒雨  ㄉㄧㄥˇㄈㄥˉㄇㄠˋㄩˇ
櫛風沐雨  ㄓˋㄈㄥˉㄇㄨˋㄩˇ
衣錦還鄉  ㄧˉㄐㄧㄣˇㄏㄞˊㄒㄧㄤˉ
榮歸故里  ㄖㄨㄥˊㄍㄨㄟˉㄍㄨˋㄌㄧˇ
功不可沒  ㄍㄨㄥˉㄅㄨˋㄎㄜˇㄇㄟˊ
聲名遠播  ㄕㄥˉㄇㄧㄥˊㄩㄢˇㄅㄛˉ
譽滿天下  ㄩˋㄇㄢˇㄊㄧㄢˉㄒㄧㄚˋ
開卷有益  ㄎㄞˉㄐㄩㄢˇㄧㄡˇㄧˋ
一暴十寒  ㄧˉㄆㄨˋㄕˊㄏㄢˊ
左右為難  ㄗㄨㄛˇㄧㄡˋㄨㄟˋㄋㄢˊ
化險為夷  ㄏㄨㄚˋㄒㄧㄢˇㄨㄟˋㄧˊ
臥薪嚐膽  ㄨㄛˋㄒㄧㄣˉㄔㄤˊㄉㄢˇ
返老還童  ㄈㄢˇㄌㄠˇㄏㄞˊㄊㄨㄥˊ
面面相覷  ㄇㄧㄢˋㄇㄧㄢˋㄒㄧㄤˋㄑㄩˋ
破涕為笑  ㄆㄛˋㄊㄧˋㄨㄟˋㄒㄧㄠˋ
雀躍萬分  ㄑㄩㄝˋㄩㄝˋㄨㄢˋㄈㄣˉ
欲速不達  ㄩˋㄙㄨˋㄅㄨˋㄉㄚˊ
勢不可擋  ㄕˋㄅㄨˋㄎㄜˇㄉㄤˇ
感人肺腑  ㄍㄢˇㄖㄣˊㄈㄟˋㄈㄨˇ
葉公好龍  ㄧㄝˋㄍㄨㄥˉㄏㄠˇㄌㄨㄥˊ
違背良心  ㄨㄟˊㄅㄟˋㄌㄧㄤˊㄒㄧㄣˉ
弊多於利  ㄅㄧˋㄉㄨㄛˉㄩˊㄌㄧˋ
彰明較著  ㄓㄤˉㄇㄧㄥˊㄐㄧㄠˋㄓㄨˋ
旗幟鮮明  ㄑㄧˊㄓˋㄒㄧㄢˉㄇㄧㄥˊ
精雕細琢  ㄐㄧㄥˉㄉㄧㄠˉㄒㄧˋㄗㄨㄛˊ
綿延不絕  ㄇㄧㄢˊㄧㄢˊㄅㄨˋㄐㄩㄝˊ
翠綠欲滴  ㄘㄨㄟˋㄌㄩˋㄩˋㄉㄧˉ
豪情壯志  ㄏㄠˊㄑㄧㄥˊㄓㄨㄤˋㄓˋ
鋌而走險  ㄉㄧㄥˋㄦˊㄗㄡˇㄒㄧㄢˇ
撼動人心  ㄏㄢˋㄉㄨㄥˋㄖㄣˊㄒㄧㄣˉ
融為一體  ㄖㄨㄥˊㄨㄟˋㄧˉㄊㄧˇ
警鐘長鳴  ㄐㄧㄥˇㄓㄨㄥˉㄓㄤˇㄇㄧㄥˊ
嚴加防範  ㄧㄢˊㄐㄧㄚˉㄈㄤˊㄈㄢˋ
巍然屹立  ㄨㄟˉㄖㄢˊㄧˋㄌㄧˋ
戀戀難忘  ㄌㄧㄢˋㄌㄧㄢˋㄋㄢˊㄨㄤˋ
聽天由命  ㄊㄧㄥˉㄊㄧㄢˉㄧㄡˊㄇㄧㄥˋ
懸崖勒馬  ㄒㄩㄢˊㄧㄞˊㄌㄟˉㄇㄚˇ
化整為零  ㄏㄨㄚˋㄓㄥˇㄨㄟˋㄌㄧㄥˊ
天長地久  ㄊㄧㄢˉㄓㄤˇㄉㄧˋㄐㄧㄡˇ
心急如焚  ㄒㄧㄣˉㄐㄧˊㄖㄨˊㄈㄣˊ
日積月累  ㄖˋㄐㄧˉㄩㄝˋㄌㄟˋ
四海為家  ㄙˋㄏㄞˇㄨㄟˋㄐㄧㄚˉ
危在旦夕  ㄨㄟˊㄗㄞˋㄉㄢˋㄒㄧˉ
安步當車  ㄢˉㄅㄨˋㄉㄤˉㄔㄜˉ
長驅直入  ㄓㄤˇㄑㄩˉㄓˊㄖㄨˋ
追本溯源  ㄓㄨㄟˉㄅㄣˇㄙㄨˋㄩㄢˊ
望洋興嘆  ㄨㄤˋㄧㄤˊㄒㄧㄥˋㄊㄢˋ
惟妙惟肖  ㄨㄟˊㄇㄧㄠˋㄨㄟˊㄒㄧㄠˋ
誓死不從  ㄕˋㄙˇㄅㄨˋㄘㄨㄥˊ
蔚為奇觀  ㄨㄟˋㄨㄟˋㄑㄧˊㄍㄨㄢˉ
熱火朝天  ㄖㄜˋㄏㄨㄛˇㄔㄠˊㄊㄧㄢˉ
應運而生  ㄧㄥˉㄩㄣˋㄦˊㄕㄥˉ
臨機應變  ㄌㄧㄣˊㄐㄧˉㄧㄥˉㄅㄧㄢˋ
滿招損  ㄇㄢˇㄓㄠˉㄙㄨㄣˇ
鐵面私心  ㄊㄧㄝˇㄇㄧㄢˋㄙˉㄒㄧㄣˉ
歡聚一堂  ㄏㄨㄢˉㄐㄩˋㄧˉㄊㄤˊ
顯親揚名  ㄒㄧㄢˇㄑㄧㄣˉㄧㄤˊㄇㄧㄥˊ
變幻無常  ㄅㄧㄢˋㄏㄨㄢˋㄨˊㄔㄤˊ
心如刀割  ㄒㄧㄣˉㄖㄨˊㄉㄠˉㄍㄜˉ
別來無恙  ㄅㄧㄝˊㄌㄞˊㄨˊㄧㄤˋ
信以為真  ㄒㄧㄣˋㄧˇㄨㄟˋㄓㄣˉ
唾棄不已  ㄊㄨㄛˋㄑㄧˋㄅㄨˋㄧˇ
偷樑換柱  ㄊㄡˉㄌㄧㄤˊㄏㄨㄢˋㄓㄨˋ
從長計議  ㄘㄨㄥˊㄓㄤˇㄐㄧˋㄧˋ
閉門造車  ㄅㄧˋㄇㄣˊㄗㄠˋㄔㄜˉ
博學多才  ㄅㄛˊㄒㄩㄝˊㄉㄨㄛˉㄘㄞˊ
歷歷可數  ㄌㄧˋㄌㄧˋㄎㄜˇㄕㄨˋ
調兵遣將  ㄉㄧㄠˋㄅㄧㄥˉㄑㄧㄢˇㄐㄧㄤˉ
興師問罪  ㄒㄧㄥˋㄕˉㄨㄣˋㄗㄨㄟˋ
親力親為  ㄑㄧㄣˉㄌㄧˋㄑㄧㄣˉㄨㄟˋ
篤信好學  ㄉㄨˇㄒㄧㄣˋㄏㄠˇㄒㄩㄝˊ
蕭條冷落  ㄒㄧㄠˉㄊㄧㄠˊㄌㄥˇㄌㄨㄛˋ
鞠躬盡瘁  ㄐㄩˉㄍㄨㄥˉㄐㄧㄣˇㄘㄨㄟˋ
繁花似錦  ㄈㄢˊㄏㄨㄚˉㄕˋㄐㄧㄣˇ
顯赫一時  ㄒㄧㄢˇㄏㄜˋㄧˉㄕˊ
如出一轍  ㄖㄨˊㄔㄨˉㄧˉㄓㄜˊ
長治久安  ㄓㄤˇㄓˋㄐㄧㄡˇㄢˉ
風調雨順  ㄈㄥˉㄉㄧㄠˋㄩˇㄕㄨㄣˋ
家無二主  ㄐㄧㄚˉㄨˊㄦˋㄓㄨˇ
徒有其表  ㄊㄨˊㄧㄡˇㄑㄧˊㄅㄧㄠˇ
勢單力薄  ㄕˋㄉㄢˉㄌㄧˋㄅㄠˊ
語重心長  ㄩˇㄓㄨㄥˋㄒㄧㄣˉㄓㄤˇ
優劣得所  ㄧㄡˉㄌㄧㄝˋㄉㄜˊㄙㄨㄛˇ
應付裕如  ㄧㄥˉㄈㄨˋㄩˋㄖㄨˊ
環顧四周  ㄏㄨㄢˊㄍㄨˋㄙˋㄓㄡˉ
穩紮穩打  ㄨㄣˇㄗㄚˉㄨㄣˇㄉㄚˇ
自出心裁  ㄗˋㄔㄨˉㄒㄧㄣˉㄘㄞˊ
攻守同盟  ㄍㄨㄥˉㄕㄡˇㄊㄨㄥˊㄇㄥˊ
盲目崇拜  ㄇㄤˊㄇㄨˋㄔㄨㄥˊㄅㄞˋ
推食解衣  ㄊㄨㄟˉㄕˊㄐㄧㄝˇㄧˉ
情理之中  ㄑㄧㄥˊㄌㄧˇㄓˉㄓㄨㄥˉ
買櫝還珠  ㄇㄞˇㄉㄨˊㄏㄞˊㄓㄨˉ
萬事具備  ㄨㄢˋㄕˋㄐㄩˋㄅㄟˋ
極目遠眺  ㄐㄧˊㄇㄨˋㄩㄢˇㄊㄧㄠˋ
圖窮匕見  ㄊㄨˊㄑㄩㄥˊㄅㄧˇㄐㄧㄢˋ
歷經滄桑  ㄌㄧˋㄐㄧㄥˉㄘㄤˉㄙㄤˉ
數典忘祖  ㄕㄨˋㄉㄧㄢˇㄨㄤˋㄗㄨˇ
錦繡前程  ㄐㄧㄣˇㄒㄧㄡˋㄑㄧㄢˊㄔㄥˊ
濟濟一堂  ㄐㄧˋㄐㄧˋㄧˉㄊㄤˊ
一語中的  ㄧˉㄩˇㄓㄨㄥˉ˙ㄉㄜ
孜孜以求  ㄗˉㄗˉㄧˇㄑㄧㄡˊ
言歸正傳  ㄧㄢˊㄍㄨㄟˉㄓㄥˋㄔㄨㄢˊ
疾風知勁草  ㄐㄧˊㄈㄥˉㄓˉㄐㄧㄣˋㄘㄠˇ
眼見為憑  ㄧㄢˇㄐㄧㄢˋㄨㄟˋㄆㄧㄥˊ
強詞奪理  ㄑㄧㄤˊㄘˊㄉㄨㄛˊㄌㄧˇ
朝令夕改  ㄓㄠˉㄌㄧㄥˋㄒㄧˉㄍㄞˇ
照樣造句  ㄓㄠˋㄧㄤˋㄗㄠˋㄐㄩˋ
微不足道  ㄨㄟˉㄅㄨˋㄗㄨˊㄉㄠˋ
嚴以律己  ㄧㄢˊㄧˇㄌㄩˋㄐㄧˇ
霸氣十足  ㄅㄚˋㄑㄧˋㄕˊㄗㄨˊ
引以為戒  ㄧㄣˇㄧˇㄨㄟˋㄐㄧㄝˋ
家大業大  ㄐㄧㄚˉㄉㄚˋㄧㄝˋㄉㄚˋ
潛心修練  ㄑㄧㄢˊㄒㄧㄣˉㄒㄧㄡˉㄌㄧㄢˋ
點睛之筆  ㄉㄧㄢˇㄐㄧㄥˉㄓˉㄅㄧˇ
嚴懲不貸  ㄧㄢˊㄔㄥˊㄅㄨˋㄉㄞˋ
步步為營  ㄅㄨˋㄅㄨˋㄨㄟˋㄧㄥˊ
直截了當  ㄓˊㄐㄧㄝˊ˙ㄌㄜㄉㄤˉ
善始善終  ㄕㄢˋㄕˇㄕㄢˋㄓㄨㄥˉ
量入為出  ㄌㄧㄤˋㄖㄨˋㄨㄟˋㄔㄨˉ
照章行事  ㄓㄠˋㄓㄤˉㄒㄧㄥˊㄕˋ
精妙絕倫  ㄐㄧㄥˉㄇㄧㄠˋㄐㄩㄝˊㄌㄨㄣˊ
頭破血流  ㄊㄡˊㄆㄛˋㄒㄩㄝˋㄌㄧㄡˊ
縱橫交錯  ㄗㄨㄥˋㄏㄥˊㄐㄧㄠˉㄘㄨㄛˋ
繁星點點  ㄈㄢˊㄒㄧㄥˉㄉㄧㄢˇㄉㄧㄢˇ
完美無瑕  ㄨㄢˊㄇㄟˇㄨˊㄒㄧㄚˊ
金石為開  ㄐㄧㄣˉㄕˊㄨㄟˋㄎㄞˉ
怒髮衝冠  ㄋㄨˋㄈㄚˋㄔㄨㄥˉㄍㄨㄢˉ
眼疾手快  ㄧㄢˇㄐㄧˊㄕㄡˇㄎㄨㄞˋ
遠見卓識  ㄩㄢˇㄐㄧㄢˋㄓㄨㄛˊㄕˋ
窮兇極惡  ㄑㄩㄥˊㄒㄩㄥˉㄐㄧˊㄜˋ
撫今追昔  ㄈㄨˇㄐㄧㄣˉㄓㄨㄟˉㄒㄧˉ
操刀必割  ㄘㄠˉㄉㄠˉㄅㄧˋㄍㄜˉ
積土成山  ㄐㄧˉㄊㄨˇㄔㄥˊㄕㄢˉ
融通無礙  ㄖㄨㄥˊㄊㄨㄥˉㄨˊㄞˋ
蕭灑自如  ㄒㄧㄠˉㄙㄚˇㄗˋㄖㄨˊ
應對自如  ㄧㄥˉㄉㄨㄟˋㄗˋㄖㄨˊ
還原真相  ㄏㄞˊㄩㄢˊㄓㄣˉㄒㄧㄤˋ
鑑古知今  ㄐㄧㄢˋㄍㄨˇㄓˉㄐㄧㄣˉ
觀微知著  ㄍㄨㄢˉㄨㄟˊㄓˉㄓㄨˋ
變異非常  ㄅㄧㄢˋㄧˋㄈㄟˉㄔㄤˊ
公而忘私  ㄍㄨㄥˉㄦˊㄨㄤˋㄙˉ
苟且偷生  ㄍㄡˇㄑㄧㄝˇㄊㄡˉㄕㄥˉ
盲人說象  ㄇㄤˊㄖㄣˊㄕㄨㄛˉㄒㄧㄤˋ
南轅北轍  ㄋㄢˊㄩㄢˊㄅㄟˇㄓㄜˊ
真情實感  ㄓㄣˉㄑㄧㄥˊㄕˊㄍㄢˇ
眼光獨到  ㄧㄢˇㄍㄨㄤˉㄉㄨˊㄉㄠˋ
萬古長青  ㄨㄢˋㄍㄨˇㄓㄤˇㄑㄧㄥˉ
量體裁衣  ㄌㄧㄤˋㄊㄧˇㄘㄞˊㄧˉ
照常營業  ㄓㄠˋㄔㄤˊㄧㄥˊㄧㄝˋ
徹夜不眠  ㄔㄜˋㄧㄝˋㄅㄨˋㄇㄧㄢˊ
聞過則改  ㄨㄣˊㄍㄨㄛˋㄗㄜˊㄍㄞˇ
蔚藍晴空  ㄨㄟˋㄌㄢˊㄑㄧㄥˊㄎㄨㄥˉ
撫掌大笑  ㄈㄨˇㄓㄤˇㄉㄚˋㄒㄧㄠˋ
積善成德  ㄐㄧˉㄕㄢˋㄔㄥˊㄉㄜˊ
應接不暇  ㄧㄥˉㄐㄧㄝˉㄅㄨˋㄒㄧㄚˊ
霧散雲披  ㄨˋㄙㄢˋㄩㄣˊㄆㄧˉ
鑑別是非  ㄐㄧㄢˋㄅㄧㄝˊㄕˋㄈㄟˉ
鐵桿兄弟  ㄊㄧㄝˇㄍㄢˇㄒㄩㄥˉㄉㄧˋ
歡樂滿人間  ㄏㄨㄢˉㄌㄜˋㄇㄢˇㄖㄣˊㄐㄧㄢˉ
自給自足  ㄗˋㄍㄟˇㄗˋㄗㄨˊ
忘乎所以  ㄨㄤˋㄏㄨˉㄙㄨㄛˇㄧˇ
金戈鐵馬  ㄐㄧㄣˉㄍㄜˉㄊㄧㄝˇㄇㄚˇ
前赴後繼  ㄑㄧㄢˊㄈㄨˋㄏㄡˋㄐㄧˋ
苦盡甘來  ㄎㄨˇㄐㄧㄣˇㄍㄢˉㄌㄞˊ
眼花撩亂  ㄧㄢˇㄏㄨㄚˉㄌㄧㄠˉㄌㄨㄢˋ
道聽途說  ㄉㄠˋㄊㄧㄥˉㄊㄨˊㄕㄨㄛˉ
雷動萬分  ㄌㄟˊㄉㄨㄥˋㄨㄢˋㄈㄣˉ
管中窺天  ㄍㄨㄢˇㄓㄨㄥˉㄎㄨㄟˉㄊㄧㄢˉ
實心實意  ㄕˊㄒㄧㄣˉㄕˊㄧˋ
榮耀無比  ㄖㄨㄥˊㄧㄠˋㄨˊㄅㄧˇ
錢財如糞土  ㄑㄧㄢˊㄘㄞˊㄖㄨˊㄈㄣˋㄊㄨˇ
點滴在心頭  ㄉㄧㄢˇㄉㄧˉㄗㄞˋㄒㄧㄣˉㄊㄡˊ
隨處可見  ㄙㄨㄟˊㄔㄨˋㄎㄜˇㄐㄧㄢˋ
臨門一腳  ㄌㄧㄣˊㄇㄣˊㄧˉㄐㄧㄠˇ
繁縟複雜  ㄈㄢˊㄖㄨˋㄈㄨˋㄗㄚˊ
心慈手軟  ㄒㄧㄣˉㄘˊㄕㄡˇㄖㄨㄢˇ
功高蓋主  ㄍㄨㄥˉㄍㄠˉㄍㄞˋㄓㄨˇ
妙語連珠  ㄇㄧㄠˋㄩˇㄌㄧㄢˊㄓㄨˉ
盲從附和  ㄇㄤˊㄘㄨㄥˊㄈㄨˋㄏㄜˋ
前功盡棄  ㄑㄧㄢˊㄍㄨㄥˉㄐㄧㄣˇㄑㄧˋ
雷池一步  ㄌㄟˊㄔˊㄧˉㄅㄨˋ
輕歌曼舞  ㄑㄧㄥˉㄍㄜˉㄇㄢˋㄨˇ
導師指引  ㄉㄠˇㄕˉㄓˇㄧㄣˇ
樹立典範  ㄕㄨˋㄌㄧˋㄉㄧㄢˇㄈㄢˋ
整肅紀律  ㄓㄥˇㄙㄨˋㄐㄧˋㄌㄩˋ
辦公處所  ㄅㄢˋㄍㄨㄥˉㄔㄨˋㄙㄨㄛˇ
錢驢技窮  ㄑㄧㄢˊㄌㄩˊㄐㄧˋㄑㄩㄥˊ
雜技表演  ㄗㄚˊㄐㄧˋㄅㄧㄠˇㄧㄢˇ
親密無間  ㄑㄧㄣˉㄇㄧˋㄨˊㄐㄧㄢˉ
臨時抱佛腳  ㄌㄧㄣˊㄕˊㄅㄠˋㄈㄨˊㄐㄧㄠˇ
忘其所以  ㄨㄤˋㄑㄧˊㄙㄨㄛˇㄧˇ
高歌猛進  ㄍㄠˉㄍㄜˉㄇㄥˇㄐㄧㄣˋ
無窮無盡  ㄨˊㄑㄩㄥˊㄨˊㄐㄧㄣˇ
榮獲殊榮  ㄖㄨㄥˊㄏㄨㄛˋㄕㄨˉㄖㄨㄥˊ
輕裝簡從  ㄑㄧㄥˉㄓㄨㄤˉㄐㄧㄢˇㄘㄨㄥˊ
辦理登記事項  ㄅㄢˋㄌㄧˇㄉㄥˉㄐㄧˋㄕˋㄒㄧㄤˋ
獨步天下  ㄉㄨˊㄅㄨˋㄊㄧㄢˉㄒㄧㄚˋ
舉國歡騰  ㄐㄩˇㄍㄨㄛˊㄏㄨㄢˉㄊㄥˊ
隨緣自在  ㄙㄨㄟˊㄩㄢˊㄗˋㄗㄞˋ
聲威大震  ㄕㄥˉㄨㄟˉㄉㄚˋㄓㄣˋ
繁冗事務  ㄈㄢˊㄖㄨㄥˇㄕˋㄨˋ
鐵證確鑿  ㄊㄧㄝˇㄓㄥˋㄑㄩㄝˋㄗㄠˊ
靈敏過人  ㄌㄧㄥˊㄇㄧㄣˇㄍㄨㄛˋㄖㄣˊ
功能齊全  ㄍㄨㄥˉㄋㄥˊㄑㄧˊㄑㄩㄢˊ
高遠志向  ㄍㄠˉㄩㄢˇㄓˋㄒㄧㄤˋ
意想不到  ㄧˋㄒㄧㄤˇㄅㄨˋㄉㄠˋ
榮退紀念  ㄖㄨㄥˊㄊㄨㄟˋㄐㄧˋㄋㄧㄢˋ
獨具匠心  ㄉㄨˊㄐㄩˋㄐㄧㄤˋㄒㄧㄣˉ
後患無窮  ㄏㄡˋㄏㄨㄢˋㄨˊㄑㄩㄥˊ
高深莫測  ㄍㄠˉㄕㄣˉㄇㄛˋㄘㄜˋ
莫大榮幸  ㄇㄛˋㄉㄚˋㄖㄨㄥˊㄒㄧㄥˋ
落落長  ㄌㄨㄛˋㄌㄨㄛˋㄓㄤˇ
走鐘  ㄗㄡˇㄓㄨㄥˉ
龜毛  ㄍㄨㄟˉㄇㄠˊ
放鴿子  ㄈㄤˋㄍㄜˉ˙ㄗ
破盤價  ㄆㄛˋㄆㄢˊㄐㄧㄚˋ
踢爆  ㄊㄧˉㄅㄠˋ
吐槽  ㄊㄨˇㄘㄠˊ
熱搜  ㄖㄜˋㄙㄡˉ
帶貨  ㄉㄞˋㄏㄨㄛˋ
出圈  ㄔㄨˉㄑㄩㄢˉ
割韭菜  ㄍㄜˉㄐㄧㄡˇㄘㄞˋ
逆襲  ㄋㄧˋㄒㄧˊ
踩雷  ㄘㄞˇㄌㄟˊ
出包  ㄔㄨˉㄅㄠˉ
做球  ㄗㄨㄛˋㄑㄧㄡˊ
補刀  ㄅㄨˇㄉㄠˉ
超前部署  ㄔㄠˉㄑㄧㄢˊㄅㄨˋㄕㄨˋ
對齊目標  ㄉㄨㄟˋㄑㄧˊㄇㄨˋㄅㄧㄠˉ
雙贏局面  ㄕㄨㄤˉㄧㄥˊㄐㄩˊㄇㄧㄢˋ
軟著陸  ㄖㄨㄢˇㄓㄨˋㄌㄨˋ
硬著陸  ㄧㄥˋㄓㄨˋㄌㄨˋ
痛點分析  ㄊㄨㄥˋㄉㄧㄢˇㄈㄣˉㄒㄧˉ
落地執行  ㄌㄨㄛˋㄉㄧˋㄓˊㄒㄧㄥˊ
滾動式修正  ㄍㄨㄣˇㄉㄨㄥˋㄕˋㄒㄧㄡˉㄓㄥˋ
迭代更新  ㄉㄧㄝˊㄉㄞˋㄍㄥˉㄒㄧㄣˉ
復盤檢討  ㄈㄨˋㄆㄢˊㄐㄧㄢˇㄊㄠˇ
用戶畫像  ㄩㄥˋㄏㄨˋㄏㄨㄚˋㄒㄧㄤˋ
轉換率  ㄓㄨㄢˇㄏㄨㄢˋㄌㄩˋ
客單價  ㄎㄜˋㄉㄢˉㄐㄧㄚˋ
留存率  ㄌㄧㄡˊㄘㄨㄣˊㄌㄩˋ
基本盤  ㄐㄧˉㄅㄣˇㄆㄢˊ
盤整走勢  ㄆㄢˊㄓㄥˇㄗㄡˇㄕˋ
技術指標  ㄐㄧˋㄕㄨˋㄓˇㄅㄧㄠˉ
均線交會  ㄐㄩㄣˉㄒㄧㄢˋㄐㄧㄠˉㄏㄨㄟˋ
量價背離  ㄌㄧㄤˋㄐㄧㄚˋㄅㄟˋㄌㄧˊ
乖離率過大  ㄍㄨㄞˉㄌㄧˊㄌㄩˋㄍㄨㄛˋㄉㄚˋ
突破壓力線  ㄊㄨˉㄆㄛˋㄧㄚˉㄌㄧˋㄒㄧㄢˋ
跌破支撐線  ㄉㄧㄝˉㄆㄛˋㄓˉㄔㄥˉㄒㄧㄢˋ
法人買超  ㄈㄚˇㄖㄣˊㄇㄞˇㄔㄠˉ
外資賣超  ㄨㄞˋㄗˉㄇㄞˋㄔㄠˉ
自營商進出  ㄗˋㄧㄥˊㄕㄤˉㄐㄧㄣˋㄔㄨˉ
主力洗盤  ㄓㄨˇㄌㄧˋㄒㄧˇㄆㄢˊ
籌碼集中度  ㄔㄡˊㄇㄚˇㄐㄧˊㄓㄨㄥˉㄉㄨˋ
軋空行情  ㄧㄚˋㄎㄨㄥˉㄏㄤˊㄑㄧㄥˊ
融券斷頭  ㄖㄨㄥˊㄑㄩㄢˋㄉㄨㄢˋㄊㄡˊ
質押借款  ㄓˊㄧㄚˉㄐㄧㄝˋㄎㄨㄢˇ
除權息旺季  ㄔㄨˊㄑㄩㄢˊㄒㄧˊㄨㄤˋㄐㄧˋ
填息行情  ㄊㄧㄢˊㄒㄧˊㄏㄤˊㄑㄧㄥˊ
貼息走勢  ㄊㄧㄝˉㄒㄧˊㄗㄡˇㄕˋ
高殖利率  ㄍㄠˉㄓˊㄌㄧˋㄌㄩˋ
收益平準金  ㄕㄡˉㄧˋㄆㄧㄥˊㄓㄨㄣˇㄐㄧㄣˉ
配息基準日  ㄆㄟˋㄒㄧˊㄐㄧˉㄓㄨㄣˇㄖˋ
